domain,count
financial,966
artificial_intelligence_machine_learning,833
data_management,685
general,494
developer_tools,450
telecom,373
business,344
advertising,313
web,312
cloud,258
information_retrieval,212
productivity,200
communication,159
media,130
multimedia,122
document_processing,111
file_system,102
integration,81
observability,71
analytics,65
messaging,65
documentation,52
geospatial,47
blockchain,44
mcp_protocol,41
natural_language_processing_text2text_generation,38
commerce,36
natural_language_processing_text_generation,36
utility,33
natural_language_processing_sentence_similarity,33
security,32
computer_vision_image_classification,32
natural_language_processing_zero_shot_classification,32
computer_vision_video_classification,30
multimodal_text_to_image,30
natural_language_processing_text_classification,30
natural_language_processing_table_question_answering,30
natural_language_processing_question_answering,29
multimodal_image_to_text,29
computer_vision_object_detection,29
computer_vision_image_segmentation,29
computer_vision_unconditional_image_generation,29
natural_language_processing_fill_mask,29
audio_text_to_speech,29
natural_language_processing_token_classification,28
computer_vision_depth_estimation,28
multimodal_document_question_answer,26
computer_vision_image_to_image,26
localization,25
natural_language_processing_translation,24
natural_language_processing_summarization,23
huggingface,23
ecommerce,20
transport,20
computer_vision_zero_shot_image_classification,19
text,18
natural_language_processing,17
multimodal_visual_question_answering,17
natural_language_processing_conversational,17
location,16
information_service,11
dailylifeapis,11
design,10
multimodal_feature_extraction,9
multimodal_text_to_video,9
audio_automatic_speech_recognition,8
science,7
healthcare,7
workflow,6
execute,6
natural_language_processing_feature_extraction,6
diagramming,5
hosting,5
coordination,4
system,3
multimodal_graph_machine_learning,3
education,2
machine_learning,2
multimodal_zero_shot_image_classification,2
evaluation,2
multimodal_document_question_answering,1
audio_voice_activity_detection,1
human_interaction,1
