subdomain,count
unspecified,912
read_operation,281
image,257
code_hosting,228
accounting,220
browser_automation,211
dataset_catalog,201
write_operation,173
search,156
url_service,144
file_io,122
project_management,97
cost_management,96
database,92
note_management,89
team_messaging,86
documentation_retrieval,78
maps,73
contact_management,72
version_control,59
contract_management,59
reporting,58
document_management,58
speech,57
destructive_operation,55
video,53
keyword_extraction,52
campaign_management,51
logging,49
academic_search,48
text_to_speech,48
time,47
terminal_automation,46
news,43
market_data,43
users,42
web_access,41
code_analysis,39
creative_asset,38
transcoders,38
places,37
email,37
product_catalog,37
projects_smart_v2,37
issue_tracking,36
template_management,33
accounts,33
phone,33
files,32
quotes_smart_v2,32
clients,31
authentication,30
app_platform,30
signature_workflow,30
webinars,30
encyclopedia,29
payrollau,29
resource,28
catalog_management,28
formal_verification,28
meetings,28
dashboards,27
translation_dictionary,26
token_transfer,26
browser,26
transactions,25
job_search,24
writing_workflow,24
sms,24
groups,24
text_generation,24
social_media_management,23
economic_data,23
social_sharing,23
video_platform,22
access_control,22
notifications,22
audience_management,22
credit_memos,22
projects_classic,22
email_delivery,21
code_navigation,21
revenue_schedules,21
reports,21
ui_component,20
monitoring,20
translation,20
text_classification,20
task_management,19
payment_methods,19
quotes_classic,19
stream_targets,19
zero_shot_classification,19
books,18
debit_memos,18
payments,18
api_v2,17
pools,17
fill_mask,17
knowledge_graph,16
calendar,16
customer_management,16
billing,16
publisher_management,16
orders,16
invoices,16
contacts,16
client_invoices,16
vendors,16
weather,15
cloud_recording,15
tasks_classic,15
subscriptions,14
user,14
jobs_smart_v2,14
jobs,14
payment,13
refunds,13
messages,13
sip_connected_audio,13
phone_call_queues,13
text2text_generation,13
workflows,12
rooms,12
live_streams,12
computenodes,12
package_management,11
icon_library,11
transaction_building,11
web_extraction,11
articles,11
vendor_invoices,11
word,11
stub_mappings,11
daily_life_service,11
content_annotation,10
defi_vault,10
inspection,10
defi_transaction,10
catalog_ad,10
pdf,10
phone_shared_line_groups,10
players,10
requests,10
jobschedules,10
object_detection,10
pull_request,9
clinical_text,9
web_scraping,9
accounting_periods,9
actions,9
rooms_location,9
