primary_domain,count
financial,1061
developer_tools,732
natural_language_processing,647
advertising,633
business,551
computer_vision,384
communication,376
multimodal,286
blockchain,230
data_management,224
web,203
multimedia,200
security,185
telecom,172
cloud,165
information_retrieval,162
productivity,159
audio,139
commerce,116
artificial_intelligence_machine_learning,115
analytics,112
daily_life_services,112
documentation,80
science,78
observability,72
workflow,64
mcp_protocol,60
file_system,56
education,47
unknown,34
design,33
document_processing,31
transport,31
geospatial,22
integration,10
human_interaction,7
healthcare,4
