primary_subdomain,count
accounting,208
__null__,105
vast,87
live_streaming,85
text_to_image,83
browser_automation,82
text_generation,79
ad_serving,75
trading,73
payments,73
proof_assistant,72
web_search,64
billing,61
text_to_speech,59
directory,56
invoicing,55
account_management,55
version_control,53
question_answering,52
campaign_management,52
creative_management,50
object_detection,48
summarization,48
astrology,47
contract_management,47
batch,47
mobile_testing,46
chat,45
user_management,44
market_data,44
reporting,44
targeting,44
writing,43
ad_item_management,42
translation,41
task_management,40
project_management,39
terminal_management,39
sentiment_analysis,39
image_editing,38
file_management,38
image_segmentation,38
product_catalog,36
image_classification,36
code_hosting,35
budgeting,35
browser_devtools,34
client_management,34
revenue,33
sms,33
quote_management,33
payroll,33
authentication,32
tokens,32
group_management,32
motion_graphics,31
webinars,31
sentence_similarity,31
api_mocking,30
batch_computing,30
image_to_image,30
table_question_answering,30
knowledge_graph,29
social_media,29
document_question_answering,29
video_classification,29
depth_estimation,29
unconditional_image_generation,29
fill_mask,29
orders,28
token_classification,28
dialogue_generation,27
app_builder,27
wallet,26
notes,25
carbon_accounting,25
chatbot_platform,25
banking,24
issue_tracking,23
image_generation,23
notifications,23
mobile_automation,23
fitness_tracking,23
room_management,23
views,23
zero_shot_image_classification,23
defi,22
credit_memo,22
text_classification,22
email_marketing,20
nft,20
sql,19
identity_management,19
email,19
meetings,19
project_finance,19
calendar,18
subscriptions,18
programmatic,18
debit_memo,18
streaming,18
rail,18
ocr,18
visual_question_answering,18
management_model,17
contact_management,17
custom_objects,17
dictionary,17
news,17
zero_shot_classification,17
code_indexing,16
ui_automation,16
game_development,16
transactions,16
contacts,16
image_captioning,16
image_to_text,16
web_scraping,16
video_generation,15
debugging,15
mining,15
crowdwork,15
attribution,15
speech_recognition,15
company_registry,15
http_requests,15
file_io,14
weather,14
database,14
content_extraction,14
internationalization,14
task_status,14
chat_channel,14
job_management,14
demo,13
test_orchestration,13
knowledge,13
agent_coordination,13
text_to_video,13
identity,13
workflow_management,13
telephony,13
pets,13
deployment,12
web_analytics,12
device_management,12
users,12
browser_debugging,12
zone_management,12
recordings,12
phone_numbers,12
user_accounts,12
gambling,12
image_analysis,12
stocks,12
diagramming,11
metadata,11
gui_automation,11
ui_components,11
verification,11
social,11
messaging,11
workspace_management,11
interaction_analytics,11
gamification,11
multi_entity,11
accounts,11
keyword_research,11
demo_api,11
natural_language_inference,11
code_context,10
session_management,10
audio_classification,10
reputation,10
semantic_search,10
creatives,10
podcast,10
product_reviews,10
vendor_management,10
forms,10
feature_extraction,10
cost_analytics,9
code_generation,9
app_management,9
hosting,9
testing,9
tool_catalog,9
markets,9
api_orchestration,9
token_transfer,9
scholarly_papers,9
text_extraction,9
academic_search,9
user_data,9
channel_management,9
data_governance,9
agent_registry,9
billing_document,9
call_queues,9
speech_synthesis,9
optical_character_recognition,9
code_execution,9
team_chat,8
code_search,8
vector_database,8
chemistry,8
products,8
economic_data,8
model_catalog,8
financial_statements,8
content_management,8
api_reference,8
service_management,8
blocks,8
content_governance,8
governance,8
chatbot,8
shared_line_groups,8
access_control,8
asset_management,8
time,8
number_management,8
content_moderation,8
call_tracking,8
cart,8
conversational,8
monitoring,7
mouse_control,7
icon_library,7
knowledge_base,7
spreadsheet,7
agent_network,7
datetime,7
strategy_management,7
chinese_astrology,7
account,7
scraping,7
url_shortening,7
activity_reporting,7
delegation,7
polls,7
meeting_metrics,7
webinar_metrics,7
bank_feeds,7
operational_metrics,7
influencer_marketing,7
text_rewriting,7
inventory,7
digital_marketing,7
seo,7
paraphrasing,7
text_similarity,7
image_upscaling,7
named_entity_recognition,7
vector_search,7
static_analysis,6
memory_graph,6
trading_data,6
design_system,6
paper_search,6
health_check,6
webhook_management,6
usage_guide,6
evaluation,6
screenshot,6
test_automation,6
devbox_management,6
search,6
swaps,6
databases,6
angular,6
grid_trading,6
company_records,6
research,6
feedback,6
domain_management,6
deal_management,6
books,6
image_search,6
video_search,6
schedule_management,6
audience_data,6
ad_items,6
native_ads,6
forum,6
payouts,6
invoice_adjustments,6
voice,6
sip_trunk,6
sports,6
real_estate,6
image_enhancement,6
text_to_sql,6
spam_detection,6
cryptocurrency,6
companies,6
answers_forms,6
form_actions,6
reviewers,6
sentence_embeddings,6
geocoding,5
code_validation,5
knowledge_vault,5
video_platform,5
reports,5
customer_support,5
alerting,5
automation,5
datasets,5
data_export,5
addon_management,5
tracing,5
ci_cd,5
framework_documentation,5
online_course,5
assessment,5
pages,5
api_discovery,5
human_design,5
evidence_records,5
advertiser_management,5
zones,5
tracking,5
addon_development,5
commitment,5
authorization,5
policy,5
enforcement,5
memory,5
events,5
attachment,5
payment_methods,5
internal_numbers,5
room_metrics,5
phone_system,5
call_blocking,5
common_area_phones,5
phone_devices,5
sites,5
radio_station,5
dictionaries,5
receivables,5
qr_code,5
grammar_correction,5
face_swap,5
text_summarization,5
cost_estimation,5
scenarios,5
text2text_generation,5
automatic_speech_recognition,5
local_search,4
community_content,4
webhooks,4
cost_allocation,4
database_schema,4
credential_management,4
dyno_management,4
pipeline_management,4
theming,4
organization,4
logging,4
environment_configuration,4
component_library,4
design_to_code,4
java_environment,4
containerization,4
entities,4
credentials,4
audit_log,4
api_access,4
ai_setup_audit,4
onboarding,4
news_search,4
alert_management,4
publisher_management,4
product_catalogs,4
agent_management,4
settlement,4
capability_tokens,4
attestation,4
a2a_tasks,4
intent,4
data_query,4
accounting_period,4
subscription,4
billing_accounts,4
bill_runs,4
features,4
tax,4
user_access,4
chat_message,4
call_logs,4
settings_templates,4
phone_users,4
user_settings,4
meeting_reports,4
webinar_reports,4
app_automation,4
event_subscription,4
timezone,4
ad_copy_generation,4
text_analysis,4
direct_mail,4
deposits,4
withdrawals,4
language_detection,4
entity_recognition,4
ai_text_detection,4
keyword_extraction,4
model_training,4
face_liveness,4
mask_detection,4
speech_to_text,4
background_removal,4
chatbot_catalog,4
text_editing,4
recruitment,4
surface_reconstruction,4
arithmetic,4
catalog,4
visitor_analytics,4
media_download,4
scholarly_search,4
developer_docs,3
code_writing,3
service_health,3
market_news,3
database_diagnostics,3
data_import,3
async_jobs,3
recording,3
ui_component_registry,3
dev_box,3
build,3
pricing,3
saas_management,3
exchange_rates,3
agent_profile,3
agent_memory,3
skill_marketplace,3
due_diligence,3
strategy_packages,3
message_signing,3
extension_management,3
landing_page,3
token_management,3
theme,3
secret_management,3
content_fetching,3
catalog_management,3
file_transfer,3
referrals,3
provenance,3
gateway,3
agent_messaging,3
elicitation,3
mass_action,3
amendments,3
credit_balance,3
usage_metrics,3
callout_countries,3
live_stream,3
feedback_metrics,3
call_recordings,3
calling_plans,3
usage_reports,3
video_conferencing,3
webhook,3
holdings,3
documents,3
providers,3
payables,3
geo_calculation,3
computation,3
ip_geolocation,3
crm,3
recruiting,3
chatbot_management,3
information_extraction,3
tokenization,3
data_source_management,3
style_transfer,3
dialogue,3
chat_completion,3
mrz_scanning,3
prompt_management,3
barcode_scanning,3
regex,3
speaker_verification,3
text_segmentation,3
voice_gender_recognition,3
resume_parsing,3
records,3
document_parsing,3
business_licenses,3
passage_ranking,3
vocoder,3
rag,3
code_analysis,3
product_search,3
cassandra,3
file_search,3
directory_listing,3
document_search,3
database_search,3
database_query,3
business_intelligence,3
places,2
reasoning,2
image_to_video,2
reranking,2
tool_reference,2
local_ui,2
incidents,2
cost_optimization,2
asset_inventory,2
commitments,2
crawled_content,2
sdk_integration,2
